Date,Deviation,Drivers
2025-01-17,-0.24139145381293278,"[{'Driver': 'Price', 'Change': '-33.9%'}, {'Driver': 'Discount', 'Change': '15.7%'}, {'Driver': 'Sales_d', 'Change': '9.9%'}, {'Driver': 'M_Spend', 'Change': '25.2%'}, {'Driver': 'Seasonality_T', 'Change': '-9.1%'}]"
2025-01-18,-0.2973669118193299,"[{'Driver': 'Price', 'Change': '-27.9%'}, {'Driver': 'Discount', 'Change': '6.9%'}, {'Driver': 'Supply_Chain_E', 'Change': '5.4%'}, {'Driver': 'Market_T', 'Change': '8.5%'}]"
2025-01-19,-0.30271840393545246,"[{'Driver': 'Price', 'Change': '-31.5%'}, {'Driver': 'M_Spend', 'Change': '-19.0%'}, {'Driver': 'Market_T', 'Change': '-15.3%'}]"
2025-02-01,-0.18399651979592774,"[{'Driver': 'Price', 'Change': '-9.8%'}, {'Driver': 'Discount', 'Change': '8.1%'}, {'Driver': 'Sales_d', 'Change': '-8.5%'}, {'Driver': 'M_Spend', 'Change': '-5.9%'}, {'Driver': 'Supply_Chain_E', 'Change': '6.2%'}]"
2025-02-08,-0.21930822632031152,"[{'Driver': 'Price', 'Change': '-19.6%'}, {'Driver': 'Discount', 'Change': '-29.5%'}, {'Driver': 'M_Spend', 'Change': '11.2%'}, {'Driver': 'Seasonality_T', 'Change': '-12.9%'}]"
2025-02-12,-0.33375779353790486,"[{'Driver': 'Price', 'Change': '-10.5%'}, {'Driver': 'Discount', 'Change': '65.4%'}, {'Driver': 'Sales_d', 'Change': '-15.6%'}, {'Driver': 'M_Spend', 'Change': '-10.7%'}, {'Driver': 'Success_Percentage', 'Change': '-15.7%'}]"
2025-02-17,-0.18560048990752281,"[{'Driver': 'Price', 'Change': '-15.4%'}, {'Driver': 'Discount', 'Change': '23.5%'}, {'Driver': 'M_Spend', 'Change': '-13.6%'}, {'Driver': 'Seasonality_T', 'Change': '8.1%'}]"
2025-02-22,-0.2781910184622596,"[{'Driver': 'Price', 'Change': '-8.7%'}, {'Driver': 'Discount', 'Change': '17.5%'}, {'Driver': 'Sales_d', 'Change': '-25.5%'}, {'Driver': 'M_Spend', 'Change': '-25.8%'}, {'Driver': 'Market_T', 'Change': '8.3%'}]"
2025-03-05,-0.18859784222272125,"[{'Driver': 'Price', 'Change': '-5.0%'}, {'Driver': 'Sales_d', 'Change': '-6.7%'}, {'Driver': 'M_Spend', 'Change': '19.5%'}, {'Driver': 'Success_Percentage', 'Change': '-6.7%'}]"
2025-03-12,-0.21245151574070106,"[{'Driver': 'Sales_d', 'Change': '-21.6%'}, {'Driver': 'M_Spend', 'Change': '-8.1%'}, {'Driver': 'Market_T', 'Change': '-5.1%'}, {'Driver': 'Seasonality_T', 'Change': '-8.7%'}, {'Driver': 'Success_Percentage', 'Change': '-22.0%'}]"
2025-03-16,-0.2193506952365963,"[{'Driver': 'Price', 'Change': '-8.9%'}, {'Driver': 'Sales_d', 'Change': '-21.0%'}, {'Driver': 'M_Spend', 'Change': '14.4%'}, {'Driver': 'Supply_Chain_E', 'Change': '7.1%'}, {'Driver': 'Market_T', 'Change': '6.7%'}]"
2025-03-26,-0.17396883760986545,"[{'Driver': 'Price', 'Change': '-20.6%'}, {'Driver': 'Discount', 'Change': '-13.1%'}, {'Driver': 'M_Spend', 'Change': '9.1%'}, {'Driver': 'Market_T', 'Change': '-15.0%'}, {'Driver': 'Seasonality_T', 'Change': '22.5%'}]"
