Date,Product_Name,Category,Sub_category,Price,Discount,Sales_d,Revenue_d,M_Spend,Rating,Supply_Chain_E,Market_T,Seasonality_T,Success_Percentage
2025-01-01,Air Fryer Pro,Kitchen,Appliances,1660,10,57,85158,8265,3.7,70,50,53,56
2025-01-01,Yoga Mat Plus,Sports,Fitness,4244,15,70,252518,10322,3.5,61,63,73,70
2025-01-01,Smart Watch Neo,Electronics,Wearables,3233,15,41,112670,8396,4.1,86,81,57,41
2025-01-01,Blender Max,Kitchen,Appliances,3547,10,36,114922,3899,4.2,62,76,80,36
2025-01-01,Running Shoes X,Footwear,Sportswear,1446,20,45,52056,10792,4.8,68,65,82,45
2025-01-01,Coffee Maker Lite,Kitchen,Appliances,2163,15,49,90088,7486,4.4,67,86,64,49
2025-01-01,LED Desk Lamp,Home,Lighting,3952,15,58,194833,3021,4.2,63,68,47,57
2025-01-01,Gaming Headset Z,Electronics,Accessories,961,5,39,35605,2995,4.3,74,47,43,39
2025-01-01,Water Bottle Steel,Sports,Hydration,4598,15,48,187598,8863,4.5,83,65,54,48
2025-01-01,Wireless Mouse Pro,Electronics,Computing,5659,15,45,216456,10571,3.9,88,54,74,45
2025-01-02,Air Fryer Pro,Kitchen,Appliances,864,0,58,50112,7892,4.7,87,46,38,57
2025-01-02,Yoga Mat Plus,Sports,Fitness,5675,5,63,339648,5104,3.6,82,63,66,63
2025-01-02,Smart Watch Neo,Electronics,Wearables,3531,10,19,60380,10110,4.4,60,44,55,19
2025-01-02,Blender Max,Kitchen,Appliances,1302,10,66,77338,6488,4.4,85,81,42,66
2025-01-02,Running Shoes X,Footwear,Sportswear,1663,0,51,84813,3757,3.7,74,82,58,51
2025-01-02,Coffee Maker Lite,Kitchen,Appliances,1859,20,20,29744,11914,4.4,87,41,71,20
2025-01-02,LED Desk Lamp,Home,Lighting,2397,0,48,115056,5627,4.0,70,67,54,48
2025-01-02,Gaming Headset Z,Electronics,Accessories,4102,0,35,143570,3306,4.1,72,80,32,35
2025-01-02,Water Bottle Steel,Sports,Hydration,1509,10,28,38026,2663,4.7,91,71,53,28
2025-01-02,Wireless Mouse Pro,Electronics,Computing,4104,15,43,150001,7232,3.6,71,78,31,43
2025-01-03,Air Fryer Pro,Kitchen,Appliances,2436,0,49,119364,2854,3.9,92,40,48,49
2025-01-03,Yoga Mat Plus,Sports,Fitness,5972,15,55,279191,7791,4.2,63,50,46,55
2025-01-03,Smart Watch Neo,Electronics,Wearables,1566,20,71,88948,3930,4.6,75,72,38,71
2025-01-03,Blender Max,Kitchen,Appliances,1947,10,70,122661,4511,3.6,79,75,48,70
2025-01-03,Running Shoes X,Footwear,Sportswear,2169,10,41,80036,3734,3.7,92,79,68,41
2025-01-03,Coffee Maker Lite,Kitchen,Appliances,3185,0,66,210210,3802,3.9,84,89,52,66
2025-01-03,LED Desk Lamp,Home,Lighting,4861,5,62,286312,10815,4.2,61,40,77,62
2025-01-03,Gaming Headset Z,Electronics,Accessories,4523,20,31,112170,5108,4.6,68,80,64,31
2025-01-03,Water Bottle Steel,Sports,Hydration,2482,10,45,100521,11888,4.3,70,88,37,45
2025-01-03,Wireless Mouse Pro,Electronics,Computing,2245,15,65,124036,10445,3.5,84,74,54,65
2025-01-04,Air Fryer Pro,Kitchen,Appliances,3761,5,6,21437,2956,3.8,92,43,62,6
2025-01-04,Yoga Mat Plus,Sports,Fitness,5293,20,37,156672,6911,4.5,67,46,32,37
2025-01-04,Smart Watch Neo,Electronics,Wearables,5296,0,59,312464,5446,3.8,89,77,67,59
2025-01-04,Blender Max,Kitchen,Appliances,4236,10,95,362178,7895,4.3,93,60,59,95
2025-01-04,Running Shoes X,Footwear,Sportswear,1759,0,59,103781,9683,3.5,76,83,57,59
2025-01-04,Coffee Maker Lite,Kitchen,Appliances,3005,20,37,88948,3069,4.7,94,80,66,37
2025-01-04,LED Desk Lamp,Home,Lighting,3127,20,57,142591,5170,4.8,80,71,52,56
2025-01-04,Gaming Headset Z,Electronics,Accessories,1984,10,48,85708,10319,4.0,90,42,69,48
2025-01-04,Water Bottle Steel,Sports,Hydration,3533,5,50,167817,3409,3.9,92,48,72,50
2025-01-04,Wireless Mouse Pro,Electronics,Computing,5141,20,32,131609,7801,4.6,94,89,54,32
2025-01-05,Air Fryer Pro,Kitchen,Appliances,3255,20,32,83328,8655,4.0,73,51,80,32
2025-01-05,Yoga Mat Plus,Sports,Fitness,1966,15,57,95252,7919,4.3,81,64,51,56
2025-01-05,Smart Watch Neo,Electronics,Wearables,2515,5,42,100348,4491,3.9,67,83,73,42
2025-01-05,Blender Max,Kitchen,Appliances,804,15,66,45104,6869,3.6,89,86,64,66
2025-01-05,Running Shoes X,Footwear,Sportswear,5164,5,19,93210,6752,4.0,78,67,84,19
2025-01-05,Coffee Maker Lite,Kitchen,Appliances,2169,20,52,90230,10308,3.6,68,51,82,52
2025-01-05,LED Desk Lamp,Home,Lighting,2464,5,48,112358,9805,3.6,84,79,74,48
2025-01-05,Gaming Headset Z,Electronics,Accessories,5792,20,62,287283,6070,4.4,64,61,58,62
2025-01-05,Water Bottle Steel,Sports,Hydration,3094,10,39,108599,9253,3.5,73,67,34,39
2025-01-05,Wireless Mouse Pro,Electronics,Computing,3918,0,30,117540,4141,4.6,64,51,45,30
2025-01-06,Air Fryer Pro,Kitchen,Appliances,3065,5,5,14558,9421,4.1,82,49,83,5
2025-01-06,Yoga Mat Plus,Sports,Fitness,3649,15,34,105456,9390,3.5,78,71,30,34
2025-01-06,Smart Watch Neo,Electronics,Wearables,1815,20,64,92928,10527,4.3,87,71,56,64
2025-01-06,Blender Max,Kitchen,Appliances,1651,15,73,102444,8833,4.2,92,72,80,73
2025-01-06,Running Shoes X,Footwear,Sportswear,4298,20,67,230372,5913,3.8,88,52,41,67
2025-01-06,Coffee Maker Lite,Kitchen,Appliances,4173,5,56,222003,10945,4.4,76,65,37,56
2025-01-06,LED Desk Lamp,Home,Lighting,2425,5,49,112883,2825,4.4,70,68,65,49
2025-01-06,Gaming Headset Z,Electronics,Accessories,1528,20,24,29337,9164,3.9,69,76,38,24
2025-01-06,Water Bottle Steel,Sports,Hydration,3767,10,49,166124,7073,3.8,91,63,52,49
2025-01-06,Wireless Mouse Pro,Electronics,Computing,4932,15,51,213802,5440,4.4,82,64,64,51
2025-01-07,Air Fryer Pro,Kitchen,Appliances,5768,0,45,259560,2728,3.9,78,88,65,45
2025-01-07,Yoga Mat Plus,Sports,Fitness,1195,20,98,93688,9400,4.6,68,46,57,98
2025-01-07,Smart Watch Neo,Electronics,Wearables,1517,15,78,100577,6980,3.6,71,64,81,78
